Award,Sentence,Skill,Similarity Value
114330,A cross-disciplinary curriculum will be developed that will provide Ph.D and Masters degree graduates with the ability to cross the existing boundaries between the many areas of biophotonics.,Applied Science,0.5481475591659546
114330,The intellectual foci of this specific award reside in the Directorates for Engineering; Biological Sciences; Mathematical and Physical Sciences; and Education and Human Resources.,Applied Science,0.5549488067626953
114346,"Seven departments (Chemistry, Engineering Science and Mechanics, Civil and Environmental Engineering, Electrical and Computer Engineering, Wood Science and Forest Products, Marketing and Accounting) from 4 colleges will collaborate.",Technical Vocational,0.5769493579864502
114346,"Seven departments (Chemistry, Engineering Science and Mechanics, Civil and Environmental Engineering, Electrical and Computer Engineering, Wood Science and Forest Products, Marketing and Accounting) from 4 colleges will collaborate.",Applied Science,0.5897626280784607
114346,"A competitive summer undergraduate program, mentored by the MS&IE students, will facilitate leadership skills for the MS&IE students and recruiting into the program.",Instructional Program Required,0.5218181014060974
114346,The intellectual foci of this specific award reside in the Directorates for Engineering; Mathematical and Physical Sciences; Biological Sciences; and Education and Human Resources.,Applied Science,0.5567374229431152
114351,"Students will be immersed immediately into interdisciplinary research questions, using real-world problems presented to them by outside clients.",Computer Science,0.5014699101448059
114351,"Students from widely varied backgrounds will collectively analyze, evaluate, and propose strategies to address those problems.",Deductive Reasoning,0.5056127309799194
114351,"Students from widely varied backgrounds will collectively analyze, evaluate, and propose strategies to address those problems.",Critical Thinking,0.5380563139915466
114351,"Students from widely varied backgrounds will collectively analyze, evaluate, and propose strategies to address those problems.",Complex Problem Solving,0.6367719769477844
114351,"Students from widely varied backgrounds will collectively analyze, evaluate, and propose strategies to address those problems.",Making Decisions and Solving Problems,0.5689260959625244
114351,"Students from widely varied backgrounds will collectively analyze, evaluate, and propose strategies to address those problems.",Training and Teaching Others,0.5141067504882812
114351,"Students from widely varied backgrounds will collectively analyze, evaluate, and propose strategies to address those problems.",Coaching and Developing Others,0.5305099487304688
114351,"Rather than provide a set course of instruction before students begin research, the intent is to help teams decide what information and background they need as their analyses progress, then arrange for the extended faculty to provide that background (just-in-time education).",Learning Strategies,0.5294889211654663
114351,"Rather than provide a set course of instruction before students begin research, the intent is to help teams decide what information and background they need as their analyses progress, then arrange for the extended faculty to provide that background (just-in-time education).",Instructing,0.5038999319076538
114351,"Rather than provide a set course of instruction before students begin research, the intent is to help teams decide what information and background they need as their analyses progress, then arrange for the extended faculty to provide that background (just-in-time education).",Education and Training,0.5668115019798279
114351,"Rather than provide a set course of instruction before students begin research, the intent is to help teams decide what information and background they need as their analyses progress, then arrange for the extended faculty to provide that background (just-in-time education).",Training and Teaching Others,0.5345486998558044
114351,"Rather than provide a set course of instruction before students begin research, the intent is to help teams decide what information and background they need as their analyses progress, then arrange for the extended faculty to provide that background (just-in-time education).",Providing Consultation and Advice to Others,0.5166822671890259
114368,"The extraordinarily rapid changes in communications and computing technology, and in the uses and requirements people have for these technologies, have given rise to problems that are not well-suited to narrow, traditional solutions.",Technical Skills,0.5356248617172241
114368,STIET will offer a comprehensive program from matriculation to graduation that will focus on the interaction between social and technical mechanisms in order to respond to these needs through current research and the training of a corps of scholars to carry forward teaching and research in this area.,Instructional Program Required,0.5171576142311096
114368,"Through the resources and activities of STIET, the students will be encouraged and supported so that they receive serious preparation for multi-disciplinary research and pursue multi-disciplinary approaches to understanding and solving important socio-technical problems in their dissertation research.",Training and Teaching Others,0.5049588680267334
114368,"Through the resources and activities of STIET, the students will be encouraged and supported so that they receive serious preparation for multi-disciplinary research and pursue multi-disciplinary approaches to understanding and solving important socio-technical problems in their dissertation research.",Coaching and Developing Others,0.5058354139328003
114368,"A professional Master's programs in this area is already in place, which provide a graduate student community, a student services infrastructure, and a fertile recruiting ground for promising doctoral students.",Instructional Program Required,0.5647350549697876
114368,"A professional Master's programs in this area is already in place, which provide a graduate student community, a student services infrastructure, and a fertile recruiting ground for promising doctoral students.",Training and Teaching Others,0.5288547277450562
114372,"These areas will form the foundation for research in application oriented areas focusing on new materials, devices, and the environment.",Engineering and Technology,0.5165295004844666
114372,"These areas will form the foundation for research in application oriented areas focusing on new materials, devices, and the environment.",Thinking Creatively,0.5082526803016663
114372,The intellectual foci of this specific award reside in the Directorates for Engineering; Mathematical and Physical Sciences; and Education and Human Resources.,Applied Science,0.5272794961929321
114378,The overarching question our students are trained to investigate is the following: how is it possible for an agent to decide what actions to take to achieve long-term goals?,Developing Objectives and Strategies,0.5293133854866028
114378,"We recognize that decision-making in complex environments is a sequential process, involving a series of episodes in which an agent, based on information available through its senses and stored in memory, selects the action appropriate for its goals.",Speed of Closure,0.5292643308639526
114378,"We recognize that decision-making in complex environments is a sequential process, involving a series of episodes in which an agent, based on information available through its senses and stored in memory, selects the action appropriate for its goals.",Mental Processes,0.5179511308670044
114378,"Understanding how such problems may be solved will be a critical component of a general theory of intelligent behavior in organisms, and will be essential for the design of truly intelligent machines.",Cognitive Abilities,0.5210482478141785
114378,"Understanding how such problems may be solved will be a critical component of a general theory of intelligent behavior in organisms, and will be essential for the design of truly intelligent machines.",Originality,0.5162841081619263
114378,"Understanding how such problems may be solved will be a critical component of a general theory of intelligent behavior in organisms, and will be essential for the design of truly intelligent machines.",Deductive Reasoning,0.5764379501342773
114378,"Understanding how such problems may be solved will be a critical component of a general theory of intelligent behavior in organisms, and will be essential for the design of truly intelligent machines.",Mathematical Reasoning,0.5051107406616211
114378,"Understanding how such problems may be solved will be a critical component of a general theory of intelligent behavior in organisms, and will be essential for the design of truly intelligent machines.",Science,0.5413923263549805
114378,"To study these problems, we adopt a comparative approach, combining insights from a range of model systems, including humans, non-human animals, robots, and intelligent software agents.",Critical Thinking,0.5093835592269897
114378,"The training program is designed to create a new generation of scientists trained in this innovative, multidisciplinary approach.",Learning Strategies,0.5021214485168457
114378,"The training program is designed to create a new generation of scientists trained in this innovative, multidisciplinary approach.",Education and Training,0.5010066628456116
114378,"The training program is designed to create a new generation of scientists trained in this innovative, multidisciplinary approach.",Instructional Program Required,0.5182442665100098
114378,"The training program is designed to create a new generation of scientists trained in this innovative, multidisciplinary approach.",Applied Science,0.5282132625579834
114387,"The program involves 27 faculty participants from the computational and biological sciences at the University of Texas at Austin, and it will support 12 graduate trainees each year for five years.",Instructional Program Required,0.5283978581428528
114387,"The training program will involve a series of new and existing courses and seminars, a summer training program for students from underrepresented areas of science, co-advisement of each graduate student by one computational and one biological faculty participant, placement of students into well-established research groups in biology and computer science, participation in spring recruitment conferences and fall phylogenetics retreats, and opportunities for internships in the bioinformatics industry, national laboratories, and non-government organizations.",Education and Training,0.5173596143722534
114387,"The training program will involve a series of new and existing courses and seminars, a summer training program for students from underrepresented areas of science, co-advisement of each graduate student by one computational and one biological faculty participant, placement of students into well-established research groups in biology and computer science, participation in spring recruitment conferences and fall phylogenetics retreats, and opportunities for internships in the bioinformatics industry, national laboratories, and non-government organizations.",Instructional Program Required,0.5067354440689087
114400,"Under this IGERT program, graduate training at Georgia Tech will consist of a unique series of integrated core courses, an intensive, hands-on class in aquatic signaling where interdisciplinary student teams will experimentally investigate projects of their own design, intemships, and mentoring by a multidisciplinary graduate committee.",Instructional Program Required,0.502730131149292
114400,"Seminars will be conducted on biological, chemical and physical interactions affecting aquatic signaling, scientific ethics, special issues faced by under-represented groups and women in science, and the practical aspects of professional development in science and engineering.",Applied Science,0.5638003349304199
114400,The intellectual foci of this specific award reside in the Directorates for Biological Sciences; Geosciences; Mathematical and Physical Sciences; Engineering; Education and Human Resources; and the Office of Polar Programs.,Applied Science,0.5242211222648621
114418,"This program is a joint effort of twenty scientists, engineers and educators from the Departments/Schools of Mathematics, Statistics, Optics, Physics, Material science, Electrical Engineering and Computer Science, and Education at UCF.",Instructional Program Required,0.5453333854675293
114418,"This program is a joint effort of twenty scientists, engineers and educators from the Departments/Schools of Mathematics, Statistics, Optics, Physics, Material science, Electrical Engineering and Computer Science, and Education at UCF.",Physical Science,0.525854766368866
114418,"This program is a joint effort of twenty scientists, engineers and educators from the Departments/Schools of Mathematics, Statistics, Optics, Physics, Material science, Electrical Engineering and Computer Science, and Education at UCF.",Computer Science,0.5016270279884338
114418,"This program is a joint effort of twenty scientists, engineers and educators from the Departments/Schools of Mathematics, Statistics, Optics, Physics, Material science, Electrical Engineering and Computer Science, and Education at UCF.",Applied Science,0.6085312366485596
114418,"Major research efforts are grouped in four areas: advanced components, transport, switching, and networking and network management.",Systems Skills,0.5005776286125183
114418,"The advising team of each IGERT student, consisting of two or more faculty members from different departments, an industrial advisor and a non-technical advisor, is designed to ensure the successful integration of education, research and training.",Providing Consultation and Advice to Others,0.503434419631958
114418,"Industry, the users of technology considered in this effort, will be involved at the onset of the thesis research for each student.",Technology Design,0.5089342594146729
114418,"Industry, the users of technology considered in this effort, will be involved at the onset of the thesis research for each student.",Engineering and Technology,0.5274426341056824
114418,"Industry, the users of technology considered in this effort, will be involved at the onset of the thesis research for each student.",Applied Science,0.5308124423027039
114418,The objective of this IGERT program is not only to train the participating Ph.D. students to become leaders in industry and/or academia but also for this program to serve as a national model for training scientists and engineers in today's globally competitive and technology-driven market economy.,Instructional Program Required,0.5608829259872437
114419,"This IGERT program offers a nationally-unique, comprehensive package of new and tested approaches to graduate education in materials chemistry and physics.",Applied Science,0.5397041440010071
114419,These research topics provide outstanding opportunities for interdisciplinary graduate training because both the chemistry and physics of short-length-scale systems are intertwined.,Physical Science,0.5388613939285278
114419,These research topics provide outstanding opportunities for interdisciplinary graduate training because both the chemistry and physics of short-length-scale systems are intertwined.,Applied Science,0.5803885459899902
114419,"Our student-focused program is designed to address three goals: (i) help each student acquire diverse, adaptable and portable technical skills and the knowledge base to succeed in rapidly evolving career markets; (ii) help each student develop the critical thinking skills necessary to solve complex problems and understand new phenomena; and (iii) provide each student with comprehensive career training, i.e.",Instructional Program Required,0.5058226585388184
114419,"development of professional skills, exposure to many career opportunities, and training tailored to specific career paths.",Learning Strategies,0.520078182220459
114419,"development of professional skills, exposure to many career opportunities, and training tailored to specific career paths.",Social Skills,0.5047023892402649
114419,"development of professional skills, exposure to many career opportunities, and training tailored to specific career paths.",Required Level of Education,0.6641989946365356
114419,"development of professional skills, exposure to many career opportunities, and training tailored to specific career paths.",Education Level in Specific Subjects,0.535865068435669
114419,"development of professional skills, exposure to many career opportunities, and training tailored to specific career paths.",Job-Related Professional Certification,0.5347893238067627
114419,"development of professional skills, exposure to many career opportunities, and training tailored to specific career paths.",Coaching and Developing Others,0.5092679858207703
114419,"To achieve these goals, a comprehensive and fully integrated graduate training program has been developed.",Instructional Program Required,0.5466577410697937
114419,"Key activities of the training program include: new interdisciplinary courses, core engineering courses, research rotations during the first year, interdisciplinary research opportunities, targeted internships in industry or academia, and comprehensive career preparation.",Learning Strategies,0.5535510182380676
114419,"Key activities of the training program include: new interdisciplinary courses, core engineering courses, research rotations during the first year, interdisciplinary research opportunities, targeted internships in industry or academia, and comprehensive career preparation.",Instructional Program Required,0.5352998971939087
114419,"Key activities of the training program include: new interdisciplinary courses, core engineering courses, research rotations during the first year, interdisciplinary research opportunities, targeted internships in industry or academia, and comprehensive career preparation.",Applied Science,0.5208043456077576
114419,The intellectual foci of this specific award reside in the Directorates for Mathematical and Physical Sciences; Engineering; and Education and Human Resources.,Applied Science,0.5260734558105469
114420,"This program includes advising, research rotations and colloquia, two novel multidisciplinary courses that engage students in hands-on problem solving, additional lecture and laboratory courses, training in ethics, a monthly discussion group, opportunities to interact with visiting scientists, bi-annual mini-symposia, opportunities to mentor undergraduates in research, and offsite internships at other academic institutions or at leading genomics companies.",Instructional Program Required,0.5129786133766174
114420,"This program includes advising, research rotations and colloquia, two novel multidisciplinary courses that engage students in hands-on problem solving, additional lecture and laboratory courses, training in ethics, a monthly discussion group, opportunities to interact with visiting scientists, bi-annual mini-symposia, opportunities to mentor undergraduates in research, and offsite internships at other academic institutions or at leading genomics companies.",Computer Science,0.5100376009941101
114420,"This program includes advising, research rotations and colloquia, two novel multidisciplinary courses that engage students in hands-on problem solving, additional lecture and laboratory courses, training in ethics, a monthly discussion group, opportunities to interact with visiting scientists, bi-annual mini-symposia, opportunities to mentor undergraduates in research, and offsite internships at other academic institutions or at leading genomics companies.",Providing Consultation and Advice to Others,0.5034667253494263
114420,"The University of Arizona is particularly well suited for this training program because of existing strengths in evolution, functional genomics, and computation, a strong graduate program, and an institutional commitment to interdisciplinary programs.",Instructional Program Required,0.5164874792098999
114420,"Moreover, the individual participants in this program have a long track record of success in training students and a commitment to multidisciplinary collaborations.",Establishing and Maintaining Interpersonal Relationships,0.5124839544296265
114423,"The RR&A program seeks to train Ph.D.-level scholars, policy-makers, and managers to address these questions in an integrated fashion.",Instructional Program Required,0.5343282222747803
114423,"The RR&A program seeks to train Ph.D.-level scholars, policy-makers, and managers to address these questions in an integrated fashion.",Computer Science,0.5222336649894714
114423,This graduate-training program will train a new generation of scientists to integrate the perspectives of natural and social sciences in addressing both the basic understanding of regional systems and the application of this understanding to management issues.,Applied Science,0.5784085988998413
114423,The goal is to train scientists that are well-grounded in one or more disciplines but have an understanding and research experience in a range of natural and social sciences.,Physical Science,0.5167394280433655
114423,The goal is to train scientists that are well-grounded in one or more disciplines but have an understanding and research experience in a range of natural and social sciences.,Applied Science,0.5874772667884827
114423,The program will provide training to graduate students from the University of Alaska and students enrolled in other universities.,Instructional Program Required,0.5071617364883423
114427,"The emerging study of the subsurface biosphere could solve major environmental, agricultural, and industrial problems, and lead to products that will improve human health and prosperity.",Science,0.5018571615219116
114427,"This understanding is applicable to the transformation of toxic waste into harmless byproducts, safer drinking water, increased mining efficiency, increased flow of oil from wells, confining nuclear waste in storage facilities, improving soil and crops, reutilization of animal and human wastes, and the basics the Earth's global and local chemical cycles.",Chemistry,0.5178407430648804
114427,"Ethical and cultural issues related to subsurface science, bioengineering, and the environment will be included in courses, seminars and workshops.",Applied Science,0.5342499017715454
114429,The development of such technology requires new engineers and scientists with cross-disciplinary training.,Engineering and Technology,0.5209488272666931
114429,The development of such technology requires new engineers and scientists with cross-disciplinary training.,Applied Science,0.5452245473861694
114429,Creating Ph.D.s who are educated in a multidisciplinary environment represents the educational focus of this IGERT program.,Required Level of Education,0.595004141330719
114429,Creating Ph.D.s who are educated in a multidisciplinary environment represents the educational focus of this IGERT program.,Instructional Program Required,0.5741230845451355
114429,Creating Ph.D.s who are educated in a multidisciplinary environment represents the educational focus of this IGERT program.,Applied Science,0.5033701062202454
114429,Creating Ph.D.s who are educated in a multidisciplinary environment represents the educational focus of this IGERT program.,Training and Teaching Others,0.5676058530807495
114429,"This program is a joint effort among faculty members in chemistry, chemical engineering, civil engineering, computer engineering, materials science and mechanical engineering, as well as physics.",Applied Science,0.6429252624511719
114432,"Trainees will be required to satisfy the degree requirements of the graduate group to which they are admitted, as well as the specific requirements of the IGERT program that aim to build a multidisciplinary perspective and teamwork.",Required Level of Education,0.6216942071914673
114432,"Trainees will be required to satisfy the degree requirements of the graduate group to which they are admitted, as well as the specific requirements of the IGERT program that aim to build a multidisciplinary perspective and teamwork.",Instructional Program Required,0.581834614276886
114432,"Trainees will be required to satisfy the degree requirements of the graduate group to which they are admitted, as well as the specific requirements of the IGERT program that aim to build a multidisciplinary perspective and teamwork.",Training and Teaching Others,0.5254809260368347
114432,"Trainees will be required to satisfy the degree requirements of the graduate group to which they are admitted, as well as the specific requirements of the IGERT program that aim to build a multidisciplinary perspective and teamwork.",Staffing Organizational Units,0.5007827877998352
114432,"Trainees supported for their dissertations must develop a project that integrates two or more of the IGERT core disciplines (life sciences, social sciences, law, humanities, and physical sciences), and have a similarly diverse guidance committee.",Education and Training,0.5066096782684326
114432,"Trainees supported for their dissertations must develop a project that integrates two or more of the IGERT core disciplines (life sciences, social sciences, law, humanities, and physical sciences), and have a similarly diverse guidance committee.",Required Level of Education,0.506432831287384
114432,"Trainees supported for their dissertations must develop a project that integrates two or more of the IGERT core disciplines (life sciences, social sciences, law, humanities, and physical sciences), and have a similarly diverse guidance committee.",Instructional Program Required,0.5389903783798218
114432,"Trainees supported for their dissertations must develop a project that integrates two or more of the IGERT core disciplines (life sciences, social sciences, law, humanities, and physical sciences), and have a similarly diverse guidance committee.",Applied Science,0.545290470123291
114432,"Trainees supported for their dissertations must develop a project that integrates two or more of the IGERT core disciplines (life sciences, social sciences, law, humanities, and physical sciences), and have a similarly diverse guidance committee.",Training and Teaching Others,0.5995358228683472
114432,"Trainees supported for their dissertations must develop a project that integrates two or more of the IGERT core disciplines (life sciences, social sciences, law, humanities, and physical sciences), and have a similarly diverse guidance committee.",Coaching and Developing Others,0.5427106618881226
114432,Other key elements of the training program include requirements for collaborative internships outside the university and participation in an extensive mentorship network.,Coaching and Developing Others,0.5020765662193298
114432,"This program will build multidisciplinary research teams that span the natural sciences, social sciences, engineering and humanities and that will train the next generation of environmental scientists to be conversant in the ethical, political, legal, and economic, and scientific issues pertinent to the analysis and remediation of biological invasions.",Applied Science,0.5204243659973145
114432,"The intellectual foci of this specific award reside in the Directorates for Biological Sciences; Social, Behavioral, and Economic Sciences; Mathematical and Physical Sciences; Engineering; and Education and Human Resources.",Applied Science,0.5363929271697998
114434,"In order to form an integrated graduate education program between these different disciplines, the IGERT includes the creation of a Ph.D. emphasis program that will normalize the curriculum requirements across colleges.",Instructional Program Required,0.5454264879226685
114434,"Industry will also play a major role through scientific collaborations, student internships and classroom discussion.",Applied Science,0.5273804664611816
114434,"In addition, the program includes a major educational thrust in science policy, science ethics, and societal impact, culminating in a two week workshop at the Center for Science, Policy and Outcomes in Washington DC.",Applied Science,0.5644862055778503
114434,"Students will also have the opportunity to participate in research abroad and in the ""Preparing Future Faculty"" or ""Preparing Future Professionals"" programs run by the ASU Graduate College.",Training and Teaching Others,0.5255804061889648
114434,"This will facilitate common mechanisms for recruiting and evaluation, and provide a formal avenue for information exchange between IGERT faculty and students.",Staffing Organizational Units,0.5218929648399353
114434,The intellectual foci of this specific award reside in the Directorates for Biological Sciences; Engineering; Mathematical and Physical Sciences; and Education and Human Resources.,Applied Science,0.549251139163971
114437,"The vision of the Program is to provide the first truly multidisciplinary Ph.D. program in environmental economics, a program that does not compromise the depth of economics education nor the depth of education in a companion natural science discipline.",Applied Science,0.5070884227752686
